Lake_ID,Name,Acres,Lat,Long
47035300,Tyrone Bean,13,45.28149796,-94.54244232
48000100,Anderson,39,46.15252686,-93.45043945
48000200,Mille Lacs,132516,46.21414185,-93.65103912
48000300,Fog,41,45.60272217,-93.59310913
47025100,Unnamed,78,45.2927475,-94.45565033
48000600,Mud,178,45.64819336,-93.52325439
38087200,Unnamed,10,47.93653488,-91.12709808
38087400,Unnamed,19,47.94028091,-91.09172821
38087500,Shoveller,10,47.96595001,-91.05916595
38087700,Unnamed,13,47.99591446,-91.02558899
38087900,Unnamed,10,47.92180634,-91.12662506
38088000,Unnamed,11,47.91588593,-91.1338501
38088100,Unnamed,130,47.95388412,-91.1600647
38088700,Jump,36,48.00608826,-91.02973175
38088800,Unnamed,10,48.12194061,-91.03772736
41012300,Unnamed,44,44.42848969,-96.25521088
41012400,Unnamed,21,44.43902969,-96.41389465
41012700,Unnamed,15,44.59660721,-96.41501617
41012800,Unnamed,20,44.34933472,-96.13527679
41012900,Unnamed,12,44.34518433,-96.1175766
40004100,Unnamed,27,44.25725937,-93.67523193
40004200,Unnamed,24,44.26200104,-93.65660095
40004400,Steele,75,44.23976898,-93.69766998
40004500,Unnamed,59,44.25069046,-93.71459961
40004600,Unnamed,90,44.24838257,-93.7218399
40004700,Unnamed,12,44.2417717,-93.74937439
40004800,Silver,17,44.22667694,-93.73788452
40004900,Unnamed,79,44.23149109,-93.71240997
40005000,Dove,92,44.22759628,-93.71838379
40005100,Fish,84,44.22950363,-93.66559601
40005200,Unnamed,12,44.21828079,-93.64894104
40005300,Unnamed,14,44.22151566,-93.67025757
40005400,Perch,31,44.22191238,-93.68251801
40005600,Rays,153,44.21300125,-93.67737579
40005700,Frances,870,44.21113205,-93.70111084
40005800,Unnamed,18,44.22184372,-93.73307037
40005900,Round,135,44.21729279,-93.74750519
40006000,Unnamed,41,44.19876099,-93.75046539
40006100,Tustin,153,44.20758438,-93.6620636
40006200,Sanders Slough,84,44.28588104,-93.71392822
40006300,German,975,44.27637482,-93.72904205
40006400,Unnamed,55,44.34760666,-93.74853516
40006500,Unnamed,65,44.34770966,-93.73213196
40006600,Unnamed,17,44.33185959,-93.67778778
40006700,Unnamed,12,44.32836914,-93.70463562
40006800,Sleepy Eye,118,44.33384705,-93.70290375
40006900,Unnamed,34,44.32566833,-93.70568848
40007000,Hecorts Marsh,130,44.32990646,-93.74158478
40007100,Unnamed,16,44.32366943,-93.72988892
